num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
4,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3963398,11,0.2,1,20.45,1,301,0,-1,0.05,492,0,-1,0.95,7.350000000000001e-5,16.25784304849999,0.839344375,0.47220165143776655
5,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4519799,11,0.2,1,22,1,300.6,0,-1,0,-1,0,-1,1,6.825e-5,17.089175466499988,0.89557384375,0.5046818898902216
6,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.502691,11,0.2,1,23.25,0.85,291.1764705882353,0.15,27.666666666666668,0,-1,0,-1,1,0.01508699999999999,23.23377229950001,0.9321229984375,0.5392968533580347
7,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5506723000000001,11,0.2,1,24.9,0.9,297.3333333333333,0.1,40,0,-1,0,-1,1,0.01007634999999999,22.4610968795,0.955879948984375,0.5760893934275857
8,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5924936000000001,11.1,0.2,1,26,0.95,289.2631578947368,0.05,58,0,-1,0,-1,1,0.00511464999999999,21.30841615399998,0.9713219668398437,0.609986822317685
9,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.6302605000000001,11.3,0.2,1,26.95,0.85,298.29411764705884,0.15,37.333333333333336,0,-1,0,-1,1,0.01513599999999999,26.011957163499986,0.9813592784458984,0.6422321710740782
10,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.6645096,11.65,0.2,1,28.05,0.95,309.6842105263158,0.05,23,0,-1,0,-1,1,0.0051617,24.041901547499965,0.987883530989834,0.6726598623768719
1,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.1917463,10.3,0.2,0,-1,0.8,295.5,0.2,46,0.5,368,0,-1,0.5,0.02001,19.671025050000065,0.45999999999999996,0.4168397826086957
2,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.2735812999999999,10.35,0.2,1,16,0.95,298.89473684210526,0.05,45,0.25,434.4,0,-1,0.75,0.005016,17.549735220000006,0.6759999999999999,0.40470606508875734
3,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3487918,10.65,0.2,1,18.25,0.9,286.72222222222223,0.1,49.5,0,-1,0,-1,1,0.0100652,19.426258991,0.8056,0.4329590367428004
