num_target_loci,target_fitness_cost,recomb_rate,shared_cas9?,baseline_cleavage_rate,saturation_factor,target_cleavage_rate,drive_cleavage_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,recovery_marker,avg_minimum_fitness,avg_time_to_minimum_fitness,avg_time_to_fitness_recovery,avg_ending_fitness,avg_ending_drive_rate,avg_ending_disrupted_rate,rate_drive_lost_disrupted_lost,rate_drive_lost_disrupted_fixed,rate_drive_fixed_disrupted_lost,rate_drive_fixed_disrupted_fixed,rate_simulation_timed_out,num_replicates
6,0.6,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.07179700999999998,15.95,129.75,0.9749943,0.25,6.3166665e-4,0.45,0,0.05,0,0.55,20
6,0.5,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.08704862,16.1,165.5,0.99,0.1,4.1583385e-4,0.45,0,0.05,0,0.5,20
6,0.4,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.11402074999999996,16.7,162,0.9849882,0.15,8.620828e-4,0.4,0,0.05,0,0.55,20
6,0.3,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.16869004999999998,17.2,140.3,0.9749784,0.25,0.00171875,0.3,0,0,0,0.7,20
6,0.2,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.27874079999999996,18,150.4,0.9799443000000002,0.2,0.002984999165,0.05,0,0,0,0.95,20
6,0.1,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.4961186000000001,19.55,176.4,0.9848621,0.15,0.010556249,0,0,0,0,1,20
7,1,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.04154374999999999,16.15,114.1,0.984995,0.15,1.910714e-4,0.5,0,0.15,0,0.35,20
7,0.9,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.043121565,16,105.45,0.9749955,0.25,1.26785743e-4,0.55,0,0.2,0,0.25,20
7,0.8,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.04603094,16,117,0.974996,0.25,1.339286e-4,0.6,0,0.2,0,0.2,20
7,0.7,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.05090922000000001,16.2,109.15,0.9699867,0.3,2.88571915e-4,0.4,0,0.2,0,0.4,20
